date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:20:47	277/277	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Mar%202021%2005:20:44%20GMT	https://tweetermusk.ug/robots.txt		(from )
06:20:47	252196/252196	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Mar%202021%2005:20:44%20GMT	https://tweetermusk.ug/	C:/My%20Web%20Sites/el%20tweet/tweetermusk.ug/index.html	(from )
06:20:48	22122/22122	---M-Z	200	added ('OK')	text/css	etag:%22566a-5bc3ed979d3a5-gzip%22	https://tweetermusk.ug/index_lg.css	C:/My%20Web%20Sites/el%20tweet/tweetermusk.ug/index_lg.css	(from https://tweetermusk.ug/)
06:20:48	1015/1015	---M--	200	added ('OK')	image/png	etag:%227vm/v2DloVVWH9dCWPNBNA==%22	https://abs.twimg.com/errors/logo46x38.png	C:/My%20Web%20Sites/el%20tweet/abs.twimg.com/errors/logo46x38.png	(from https://tweetermusk.ug/)
06:20:49	26360/26360	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Feb%202021%2008:23:48%20GMT	https://pbs.twimg.com/profile_images/1364491704817098753/V22-Luf7_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/1364491704817098753/V22-Luf7_400x400.jpg	(from https://tweetermusk.ug/)
06:20:50	42264/42264	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20Feb%202021%2002:26:25%20GMT	https://pbs.twimg.com/profile_images/1363314604630175747/NgYBr11A_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/1363314604630175747/NgYBr11A_400x400.jpg	(from https://tweetermusk.ug/)
06:20:51	12763/12763	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Apr%202019%2012:11:46%20GMT	https://pbs.twimg.com/profile_images/1118125327870570496/nZvNwAvv_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/1118125327870570496/nZvNwAvv_400x400.jpg	(from https://tweetermusk.ug/)
06:20:52	26223/26223	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Jul%202020%2018:20:02%20GMT	https://pbs.twimg.com/profile_images/1284191648482684928/QFmWdjVA_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/1284191648482684928/QFmWdjVA_400x400.jpg	(from https://tweetermusk.ug/)
06:20:52	43434/43434	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Mar%202019%2013:08:24%20GMT	https://pbs.twimg.com/profile_images/1102194515274657792/FBhSVHxu_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/1102194515274657792/FBhSVHxu_400x400.jpg	(from https://tweetermusk.ug/)
06:20:53	16812/16812	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Feb%202016%2004:43:36%20GMT	https://pbs.twimg.com/profile_images/698729782184431616/xsOQSAbZ_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/698729782184431616/xsOQSAbZ_400x400.jpg	(from https://tweetermusk.ug/)
